;host_is_superhost;host_listings_count;latitude;longitude;accommodates;bathrooms;bedrooms;beds;price;security_deposit;cleaning_fee;extra_people;minimum_nights;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;ano;mes;n_amenities;property_type_Apartment;property_type_Condominium;property_type_House;property_type_Loft;property_type_Outros;property_type_Serviced apartment;room_type_Entire home/apt;room_type_Hotel room;room_type_Private room;room_type_Shared room;bed_type_Outros;bed_type_Real Bed;cancellation_policy_flexible;cancellation_policy_moderate;cancellation_policy_strict;cancellation_policy_strict_14_with_grace_period
1546;0;4.0;-22.96332;-43.21686;4;1.0;1.0;2.0;101.0;0.0;160.0;70.0;1;94.0;10.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;13;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1
1547;1;2.0;-22.96627;-43.18667;4;2.0;2.0;4.0;221.0;500.0;160.0;50.0;3;96.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;24;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1557;0;3.0;-22.98393;-43.19796;2;1.0;1.0;1.0;142.0;0.0;170.0;0.0;3;90.0;9.0;9.0;7.0;9.0;10.0;9.0;0;0;2020;4;11;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1559;0;2.0;-22.96826;-43.18282;8;3.0;3.0;6.0;227.0;5000.0;180.0;50.0;2;91.0;9.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;26;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1560;0;8.0;-22.98523;-43.19077;5;2.0;2.0;3.0;390.0;1260.0;344.0;0.0;3;80.0;8.0;9.0;9.0;8.0;10.0;8.0;1;0;2020;4;20;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
1561;0;2.0;-22.9782;-43.19156;4;1.0;1.0;4.0;200.0;0.0;170.0;50.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;24;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1562;0;1.0;-22.92144;-43.18843;7;2.0;3.0;5.0;263.0;0.0;342.0;95.0;2;91.0;9.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;36;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
1568;0;2.0;-22.97594;-43.18805;5;1.0;1.0;2.0;242.0;511.0;130.0;70.0;3;96.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;35;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1570;0;3.0;-22.94023;-43.17373;4;2.0;1.0;3.0;90.0;0.0;120.0;160.0;1;96.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;35;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
1571;1;6.0;-22.96492;-43.1767;6;1.5;3.0;5.0;153.0;400.0;250.0;50.0;3;93.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;33;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1574;0;9.0;-22.97756;-43.18872;3;2.0;1.0;0.0;95.0;0.0;0.0;50.0;2;78.0;8.0;7.0;9.0;9.0;9.0;8.0;0;0;2020;4;21;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1575;0;1.0;-22.94036;-43.17712;2;1.0;1.0;1.0;122.0;500.0;120.0;25.0;1;96.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;31;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1589;1;2.0;-22.97184;-43.1906;4;1.5;2.0;3.0;279.0;620.0;150.0;40.0;2;94.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1592;1;2.0;-22.93158;-43.17943;4;1.5;2.0;3.0;175.0;0.0;160.0;40.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1597;0;2.0;-22.95462;-43.18993;5;2.0;1.0;3.0;179.0;0.0;180.0;45.0;3;80.0;10.0;9.0;10.0;10.0;9.0;9.0;1;0;2020;4;25;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1603;1;8.0;-22.94668;-43.16211;1;1.0;1.0;1.0;186.0;532.0;117.0;346.0;3;99.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;23;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1606;1;2.0;-22.96573;-43.17824;6;2.0;2.0;4.0;395.0;1054.0;448.0;58.0;2;96.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;40;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1608;0;2.0;-22.97993;-43.19033;6;2.0;2.0;6.0;274.0;0.0;180.0;0.0;3;88.0;9.0;9.0;10.0;9.0;10.0;9.0;1;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1609;1;2.0;-22.96773;-43.18694;4;2.0;2.0;4.0;200.0;500.0;298.0;49.0;4;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;40;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1610;0;1.0;-22.9849;-43.23109;5;2.0;2.0;5.0;348.0;900.0;220.0;0.0;1;95.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;23;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1611;1;2.0;-22.98218;-43.19513;2;1.0;1.0;1.0;342.0;2863.0;372.0;46.0;2;94.0;10.0;10.0;10.0;10.0;8.0;9.0;0;0;2020;4;33;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1
1612;1;3.0;-22.98133;-43.20811;3;2.0;2.0;1.0;269.0;800.0;200.0;200.0;2;94.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;10;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1614;0;4.0;-23.00592;-43.34577;7;3.0;4.0;7.0;648.0;0.0;250.0;100.0;4;96.0;10.0;9.0;10.0;10.0;9.0;9.0;1;0;2020;4;21;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1615;0;1.0;-22.9815;-43.19462;3;1.0;1.0;1.0;200.0;500.0;100.0;80.0;3;89.0;9.0;9.0;10.0;9.0;10.0;9.0;0;0;2020;4;23;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1617;1;2.0;-22.96324;-43.16836;2;2.5;1.0;0.0;47.0;0.0;35.0;40.0;2;91.0;10.0;9.0;10.0;10.0;10.0;10.0;1;0;2020;4;36;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1622;0;1.0;-22.98447;-43.19264;6;2.0;3.0;3.0;452.0;800.0;200.0;60.0;3;96.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;26;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1623;0;1.0;-22.98239;-43.18941;4;3.0;2.0;3.0;300.0;0.0;170.0;0.0;2;99.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;33;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1628;1;3.0;-22.96484;-43.18249;4;2.0;1.0;1.0;181.0;500.0;130.0;20.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;28;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1631;1;8.0;-22.97811;-43.18976;6;1.0;1.0;4.0;269.0;0.0;100.0;50.0;2;96.0;9.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;24;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1633;0;4.0;-22.96647;-43.17938;2;1.0;1.0;0.0;90.0;0.0;130.0;50.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;20;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1635;0;2.0;-22.98347;-43.22342;3;1.0;1.0;2.0;501.0;3000.0;240.0;0.0;3;99.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;11;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1637;0;4.0;-22.96529;-43.17939;2;1.5;1.0;2.0;100.0;0.0;140.0;80.0;3;97.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;25;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1643;0;6.0;-22.97524;-43.18702;2;1.0;1.0;3.0;112.0;0.0;0.0;0.0;3;80.0;8.0;6.0;8.0;8.0;10.0;8.0;0;0;2020;4;20;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1646;1;2.0;-22.96347;-43.18098;2;1.0;1.0;0.0;290.0;0.0;150.0;120.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;25;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1654;0;3.0;-22.97417;-43.1882;3;1.0;1.0;1.0;137.0;0.0;250.0;80.0;2;95.0;10.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;33;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1656;0;1.0;-22.98334;-43.2185;4;2.0;2.0;3.0;348.0;1000.0;0.0;100.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;26;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1661;0;3.0;-22.93668;-43.17282;3;1.0;1.0;1.0;348.0;500.0;120.0;0.0;1;67.0;9.0;7.0;10.0;8.0;10.0;7.0;0;0;2020;4;9;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1662;1;3.0;-22.98393;-43.20167;3;1.5;2.0;3.0;374.0;0.0;200.0;100.0;2;100.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;29;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1666;0;3.0;-22.92246;-43.18173;1;1.0;1.0;1.0;47.0;0.0;30.0;0.0;1;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;24;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0
1667;0;11.0;-22.98183;-43.19305;6;2.0;3.0;3.0;369.0;600.0;170.0;23.0;3;87.0;9.0;8.0;9.0;9.0;9.0;9.0;0;0;2020;4;22;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
1674;1;1.0;-22.93084;-43.18095;4;2.0;2.0;2.0;532.0;1329.0;213.0;53.0;2;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;46;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1675;0;1.0;-22.9845;-43.21888;2;1.0;1.0;1.0;248.0;1000.0;0.0;60.0;3;97.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;23;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1
1676;0;2.0;-22.97574;-43.18944;8;2.0;3.0;4.0;448.0;794.0;200.0;0.0;2;97.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;28;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1679;0;2.0;-22.93822;-43.20479;3;1.5;2.0;2.0;330.0;484.0;260.0;225.0;3;94.0;10.0;9.0;10.0;10.0;9.0;9.0;1;0;2020;4;25;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
1682;0;1.0;-22.98083;-43.20409;4;2.0;1.0;1.0;616.0;4092.0;300.0;0.0;2;92.0;10.0;9.0;10.0;9.0;10.0;8.0;0;0;2020;4;27;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1683;0;2.0;-22.93764;-43.20506;4;1.0;1.0;2.0;303.0;513.0;265.0;167.0;3;95.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;25;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1690;0;2.0;-23.02349;-43.48693;6;2.0;2.0;6.0;160.0;3500.0;150.0;67.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;18;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1691;0;0.0;-22.97;-43.18404;4;1.0;1.0;2.0;242.0;0.0;40.0;0.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;28;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1699;0;1.0;-22.98343;-43.19485;2;1.0;0.0;1.0;148.0;500.0;100.0;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;22;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1704;1;5.0;-23.0557;-43.56125;2;1.0;1.0;1.0;298.0;1000.0;20.0;50.0;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;36;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0
1705;0;1.0;-22.98492;-43.22343;2;1.5;1.0;2.0;200.0;500.0;100.0;100.0;1;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;10;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1713;0;1.0;-22.96352;-43.17651;3;1.0;1.0;1.0;111.0;299.0;90.0;0.0;2;94.0;9.0;9.0;10.0;9.0;10.0;9.0;0;0;2020;4;13;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1723;0;3.0;-22.98453;-43.20968;3;1.0;1.0;2.0;200.0;1300.0;120.0;150.0;3;96.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;19;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1729;0;2.0;-22.98332;-43.2073;4;2.0;2.0;2.0;358.0;500.0;200.0;0.0;3;93.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;15;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1731;0;1.0;-22.93336;-43.20313;2;1.0;1.0;1.0;69.0;419.0;150.0;0.0;3;96.0;10.0;10.0;10.0;10.0;9.0;9.0;0;0;2020;4;22;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1
1739;0;1.0;-22.91346;-43.18546;3;1.0;1.0;3.0;79.0;600.0;90.0;40.0;2;95.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;10;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1750;1;1.0;-22.97408;-43.1891;8;2.5;3.0;6.0;311.0;450.0;290.0;52.0;3;95.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;32;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1751;0;4.0;-22.92666;-43.17386;2;1.0;1.0;1.0;74.0;700.0;100.0;0.0;1;92.0;9.0;10.0;10.0;9.0;10.0;9.0;0;0;2020;4;16;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0
1754;0;8.0;-22.98424;-43.19091;5;2.0;2.0;3.0;327.0;1260.0;344.0;0.0;3;93.0;10.0;10.0;9.0;9.0;10.0;9.0;1;0;2020;4;20;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
1757;0;1.0;-22.96786;-43.18532;3;1.0;1.0;2.0;100.0;385.0;120.0;40.0;3;95.0;10.0;9.0;10.0;9.0;10.0;9.0;0;0;2020;4;28;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1759;1;2.0;-22.9018;-43.34974;5;1.0;1.0;3.0;64.0;0.0;0.0;43.0;1;95.0;10.0;10.0;10.0;10.0;9.0;10.0;0;0;2020;4;22;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1
1762;0;4.0;-22.98541;-43.21979;4;1.0;1.0;4.0;216.0;524.0;150.0;30.0;3;95.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;32;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1764;0;2.0;-22.97286;-43.18696;2;1.0;1.0;1.0;148.0;0.0;100.0;150.0;1;90.0;8.0;10.0;8.0;10.0;10.0;10.0;0;0;2020;4;7;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1
1765;1;1.0;-22.9857;-43.23115;4;2.5;2.0;2.0;501.0;3000.0;200.0;0.0;2;100.0;10.0;9.0;9.0;9.0;9.0;8.0;0;0;2020;4;21;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1766;0;3.0;-22.93966;-43.17316;3;2.0;1.0;3.0;63.0;0.0;89.0;87.0;1;99.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;31;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
1769;0;4.0;-22.92422;-43.18315;2;1.0;1.0;1.0;84.0;500.0;100.0;0.0;4;79.0;8.0;9.0;10.0;9.0;8.0;8.0;0;0;2020;4;11;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1770;0;8.0;-22.97716;-43.20021;4;1.0;1.0;1.0;337.0;527.0;263.0;105.0;2;98.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;32;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1772;0;0.0;-22.98237;-43.21947;4;1.0;1.0;3.0;590.0;1100.0;100.0;0.0;2;96.0;10.0;9.0;10.0;8.0;10.0;9.0;1;0;2020;4;43;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1773;0;3.0;-22.98165;-43.2004;4;3.0;2.0;3.0;295.0;600.0;320.0;100.0;4;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;34;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1780;0;0.0;-22.91751;-43.18044;2;1.0;1.0;1.0;79.0;433.0;150.0;50.0;3;90.0;9.0;9.0;9.0;9.0;9.0;9.0;0;0;2020;4;11;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
1788;1;1.0;-22.96196;-43.17653;2;1.0;1.0;2.0;100.0;420.0;85.0;55.0;3;96.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;32;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
1789;0;1.0;-22.91389;-43.25136;3;1.0;1.0;1.0;160.0;0.0;0.0;0.0;3;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;19;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
1797;1;3.0;-22.97212;-43.22612;6;1.5;3.0;4.0;229.0;0.0;200.0;120.0;2;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;31;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
1801;1;2.0;-23.03101;-43.47739;4;1.0;1.0;3.0;232.0;414.0;100.0;70.0;2;98.0;10.0;9.0;10.0;10.0;10.0;10.0;0;0;2020;4;37;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1803;1;2.0;-22.98613;-43.22424;4;2.0;2.0;4.0;358.0;1000.0;180.0;160.0;4;96.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;40;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1808;0;1.0;-22.96587;-43.17713;3;1.0;0.0;2.0;369.0;1317.0;211.0;527.0;3;93.0;9.0;9.0;10.0;9.0;9.0;9.0;0;0;2020;4;9;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1809;0;3.0;-22.96102;-43.16661;3;1.0;1.0;1.0;202.0;1000.0;200.0;0.0;1;100.0;10.0;10.0;10.0;10.0;10.0;8.0;0;0;2020;4;12;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1811;0;1.0;-22.91553;-43.17799;6;1.0;2.0;5.0;69.0;0.0;130.0;49.0;1;87.0;9.0;9.0;9.0;9.0;9.0;8.0;0;0;2020;4;30;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0
1813;1;1.0;-23.01278;-43.32154;2;1.0;1.0;1.0;207.0;0.0;180.0;0.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;38;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1814;1;1.0;-22.96577;-43.18273;6;1.5;3.0;4.0;248.0;1000.0;200.0;0.0;3;96.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;27;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1816;0;3.0;-22.9634;-43.20107;1;1.0;1.0;1.0;84.0;0.0;150.0;50.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;21;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0
1824;0;1.0;-22.97157;-43.1858;5;1.0;1.0;3.0;148.0;350.0;150.0;50.0;2;88.0;9.0;9.0;9.0;9.0;10.0;9.0;0;0;2020;4;23;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1842;0;2.0;-22.98377;-43.20044;4;1.5;1.0;4.0;158.0;0.0;80.0;40.0;4;94.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;26;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1848;1;1.0;-22.98069;-43.19107;4;2.5;2.0;2.0;527.0;0.0;369.0;0.0;4;99.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;35;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1849;1;1.0;-23.00896;-43.35314;3;1.0;1.0;1.0;181.0;1000.0;150.0;0.0;2;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;32;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1851;0;1.0;-22.93857;-43.17774;4;1.0;1.0;2.0;148.0;0.0;130.0;100.0;1;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;29;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1854;1;1.0;-22.97543;-43.19763;6;2.0;2.0;4.0;153.0;417.0;250.0;35.0;2;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;38;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1862;0;1.0;-22.92277;-43.18817;2;1.0;1.0;0.0;132.0;0.0;80.0;80.0;1;95.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;21;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1
1865;0;1.0;-22.93968;-43.18828;5;2.0;2.0;2.0;181.0;1600.0;150.0;50.0;4;92.0;10.0;9.0;9.0;9.0;9.0;9.0;0;0;2020;4;27;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1870;1;1.0;-22.9581;-43.17823;2;1.0;1.0;1.0;101.0;2500.0;150.0;0.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;13;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1878;0;1.0;-22.97286;-43.18849;8;2.0;3.0;6.0;400.0;0.0;180.0;100.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;18;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1879;0;10.0;-22.96276;-43.17546;3;1.0;0.0;2.0;142.0;500.0;170.0;50.0;4;93.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;24;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1884;1;4.0;-22.98281;-43.19036;3;1.0;0.0;0.0;90.0;600.0;160.0;20.0;1;93.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;21;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1886;0;2.0;-22.98476;-43.19494;4;2.0;2.0;4.0;290.0;0.0;286.0;401.0;3;93.0;10.0;9.0;9.0;9.0;10.0;9.0;0;0;2020;4;13;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1896;0;3.0;-22.98471;-43.21482;2;1.0;1.0;1.0;290.0;790.0;263.0;105.0;3;76.0;9.0;6.0;7.0;9.0;10.0;9.0;0;0;2020;4;11;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1898;1;1.0;-22.98458;-43.2161;3;1.0;1.0;2.0;200.0;0.0;140.0;0.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;42;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1901;0;1.0;-22.96425;-43.17518;6;2.5;3.0;4.0;395.0;1000.0;200.0;80.0;1;93.0;10.0;9.0;10.0;10.0;10.0;10.0;0;0;2020;4;20;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1904;0;3.0;-22.91522;-43.2402;8;3.0;2.0;8.0;500.0;0.0;50.0;200.0;2;92.0;10.0;10.0;9.0;8.0;8.0;10.0;0;0;2020;4;15;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1
1916;1;1.0;-22.98428;-43.19182;5;2.0;2.0;5.0;227.0;1000.0;180.0;100.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;34;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1923;0;2.0;-22.98017;-43.19019;4;1.0;1.0;4.0;211.0;0.0;170.0;50.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;23;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1925;0;2.0;-22.97522;-43.19226;4;2.0;2.0;2.0;321.0;449.0;150.0;23.0;3;98.0;10.0;10.0;10.0;10.0;10.0;10.0;1;0;2020;4;24;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1926;0;1.0;-22.97722;-43.19581;4;1.0;2.0;3.0;100.0;0.0;200.0;40.0;2;92.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;33;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1931;1;2.0;-22.98455;-43.21713;2;1.0;1.0;1.0;601.0;1500.0;120.0;100.0;4;100.0;10.0;9.0;10.0;10.0;10.0;9.0;0;0;2020;4;13;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1936;1;2.0;-22.98327;-43.19742;2;1.0;0.0;2.0;148.0;500.0;180.0;80.0;2;96.0;10.0;10.0;10.0;10.0;10.0;10.0;0;0;2020;4;34;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1938;0;2.0;-22.98273;-43.21864;4;1.0;1.0;4.0;279.0;449.0;130.0;25.0;3;96.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;34;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
1939;1;1.0;-22.98562;-43.22505;4;1.0;1.0;2.0;248.0;0.0;0.0;0.0;4;96.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;41;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1946;0;4.0;-22.97495;-43.19057;4;2.0;2.0;2.0;300.0;470.0;120.0;0.0;3;100.0;10.0;10.0;10.0;10.0;10.0;9.0;1;0;2020;4;27;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0
1947;0;3.0;-22.9391;-43.17848;6;2.5;2.0;5.0;248.0;500.0;190.0;35.0;2;95.0;10.0;10.0;10.0;10.0;10.0;9.0;0;0;2020;4;30;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1950;0;1.0;-22.98017;-43.22719;7;2.0;2.0;3.0;490.0;450.0;300.0;200.0;1;93.0;10.0;9.0;10.0;9.0;9.0;9.0;1;0;2020;4;41;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1
1956;0;1.0;-23.00212;-43.3774;6;2.0;2.0;3.0;378.0;2000.0;189.0;100.0;2;96.0;9.0;9.0;10.0;10.0;10.0;9.0;1;0;2020;4;28;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1
