;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;price;security_deposit;cleaning_fee;extra_people;minimum_nights;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;ano;mes;n_amenities
129;t;2.0;-22.96982;-43.38807;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;211.0;$0.00;$75.00;0.0;2;95.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;32
133;t;3.0;-22.96421;-43.17728;Apartment;Entire home/apt;6;1.0;2.0;2.0;Real Bed;321.0;$600.00;$120.00;40.0;2;93.0;10.0;10.0;10.0;10.0;9.0;9.0;t;f;flexible;2020;4;38
134;f;10.0;-22.96434;-43.17563;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;148.0;$900.00;$150.00;50.0;2;92.0;9.0;9.0;9.0;10.0;10.0;9.0;f;f;moderate;2020;4;36
138;f;1.0;-22.96817;-43.17987;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;232.0;$0.00;$120.00;50.0;3;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;18
139;t;1.0;-22.98666;-43.19321;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;133.0;$700.00;$160.00;50.0;2;94.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;29
140;t;1.0;-22.98091;-43.19152;Condominium;Entire home/apt;4;1.5;2.0;2.0;Real Bed;348.0;$1,500.00;$220.00;200.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;24
141;f;1.0;-22.97561;-43.18791;Apartment;Entire home/apt;4;2.5;2.0;2.0;Real Bed;659.0;$5,269.00;$132.00;0.0;1;96.0;10.0;9.0;10.0;9.0;10.0;9.0;f;f;moderate;2020;4;21
143;f;3.0;-22.96911;-43.18836;Apartment;Private room;3;1.0;1.0;1.0;Real Bed;100.0;$0.00;$0.00;45.0;2;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict_14_with_grace_period;2020;4;31
145;t;2.0;-22.97725;-43.19039;Apartment;Entire home/apt;4;1.0;1.0;4.0;Real Bed;174.0;$350.00;$110.00;25.0;4;97.0;10.0;10.0;10.0;10.0;9.0;10.0;f;f;strict_14_with_grace_period;2020;4;19
150;f;1.0;-22.95349;-43.18113;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;248.0;$1,000.00;$300.00;80.0;1;100.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;moderate;2020;4;17
152;t;2.0;-22.96404;-43.17499;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;100.0;$480.00;$162.00;30.0;1;95.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict_14_with_grace_period;2020;4;30
156;f;3.0;-22.96717;-43.18776;Apartment;Private room;2;1.0;1.0;1.0;Outros;279.0;$0.00;$132.00;79.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict_14_with_grace_period;2020;4;22
160;t;5.0;-22.97542;-43.19857;Apartment;Entire home/apt;8;2.0;2.0;7.0;Real Bed;400.0;$550.00;$120.00;27.0;2;96.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;40
164;f;1.0;-22.91406;-43.18951;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;126.0;$0.00;$60.00;100.0;4;60.0;8.0;2.0;8.0;10.0;8.0;6.0;t;f;flexible;2020;4;19
171;f;8.0;-22.94265;-43.18768;House;Private room;2;2.0;1.0;1.0;Real Bed;68.0;$1,000.00;$100.00;50.0;3;92.0;10.0;9.0;9.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;30
172;f;4.0;-22.91574;-43.18425;Apartment;Entire home/apt;2;1.0;0.0;4.0;Real Bed;227.0;$859.00;$115.00;0.0;3;93.0;10.0;8.0;9.0;10.0;9.0;9.0;f;f;strict_14_with_grace_period;2020;4;12
174;f;2.0;-22.93663;-43.1766;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;342.0;$527.00;$263.00;158.0;2;93.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict_14_with_grace_period;2020;4;20
176;f;2.0;-22.96207;-43.17469;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;258.0;$1,054.00;$474.00;184.0;1;89.0;8.0;9.0;10.0;9.0;9.0;8.0;f;f;strict_14_with_grace_period;2020;4;22
178;f;4.0;-22.9966;-43.26965;House;Private room;2;1.0;1.0;1.0;Real Bed;106.0;$0.00;$20.00;40.0;1;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;flexible;2020;4;30
179;t;2.0;-22.91411;-43.18577;Condominium;Entire home/apt;5;1.0;1.0;1.0;Real Bed;316.0;$656.00;$164.00;53.0;2;100.0;8.0;5.0;6.0;7.0;9.0;6.0;f;f;flexible;2020;4;18
